Player,Table Points,Player_Score,Rank,Simulation
Andy,51,1568.0,8,81
John,49,1325.0,9,81
Dove,38,1484.0,10,81
Nick,66,1524.0,1,82
John,61,1442.0,2,82
Andy,60,1612.0,3,82
Matt,54,1474.0,4,82
Tim,52,1496.0,5,82
Dove,50,1538.0,6,82
Karl,50,1517.0,7,82
Sam,49,1446.0,8,82
Mikey,49,1396.0,9,82
Mike,43,1437.0,10,82
Mike,62,1497.0,1,83
Andy,60,1592.0,2,83
Sam,57,1466.0,3,83
Matt,56,1602.0,4,83
Nick,54,1446.0,5,83
Karl,51,1562.0,6,83
Tim,50,1482.0,7,83
Mikey,50,1436.0,8,83
John,47,1366.0,9,83
Dove,45,1479.0,10,83
Matt,65,1595.0,1,84
Tim,62,1587.0,2,84
Andy,61,1592.0,3,84
Dove,60,1628.0,4,84
Mikey,51,1458.0,5,84
Nick,49,1478.0,6,84
Mike,48,1392.0,7,84
Sam,46,1435.0,8,84
John,44,1315.0,9,84
Karl,43,1453.0,10,84
Mike,63,1484.0,1,85
Andy,60,1580.0,2,85
Matt,59,1603.0,3,85
Tim,58,1595.0,4,85
Mikey,58,1419.0,5,85
Sam,51,1464.0,6,85
Dove,50,1509.0,7,85
Nick,47,1397.0,8,85
John,46,1278.0,9,85
Karl,41,1372.0,10,85
Matt,66,1621.0,1,86
Andy,60,1561.0,2,86
Tim,58,1589.0,3,86
Mike,58,1411.0,4,86
Karl,53,1568.0,5,86
Mikey,53,1470.0,6,86
Dove,51,1524.0,7,86
Sam,48,1434.0,8,86
Nick,46,1465.0,9,86
John,38,1299.0,10,86
Matt,73,1705.0,1,87
Sam,64,1463.0,2,87
Nick,57,1425.0,3,87
Mike,55,1421.0,4,87
John,55,1313.0,5,87
Andy,54,1578.0,6,87
Tim,50,1518.0,7,87
Mikey,44,1415.0,8,87
Karl,42,1487.0,9,87
Dove,38,1489.0,10,87
Andy,68,1704.0,1,88
Nick,66,1465.0,2,88
Tim,64,1609.0,3,88
Matt,57,1539.0,4,88
Sam,51,1371.0,5,88
Mikey,50,1394.0,6,88
Mike,49,1458.0,7,88
John,45,1307.0,8,88
Karl,41,1495.0,9,88
Dove,39,1425.0,10,88
Tim,62,1556.0,1,89
Sam,60,1425.0,2,89
Andy,56,1576.0,3,89
Mikey,55,1471.0,4,89
Mike,55,1437.0,5,89
Nick,54,1477.0,6,89
Karl,51,1543.0,7,89
Matt,51,1513.0,8,89
John,47,1274.0,9,89
Dove,41,1484.0,10,89
Matt,62,1555.0,1,90
Tim,58,1608.0,2,90
Dove,56,1489.0,3,90
Sam,56,1486.0,4,90
Nick,56,1465.0,5,90
Mike,56,1444.0,6,90
Mikey,55,1385.0,7,90
Andy,52,1557.0,8,90
Karl,49,1445.0,9,90
John,31,1213.0,10,90
Andy,66,1622.0,1,91
Matt,65,1652.0,2,91
Nick,65,1450.0,3,91
Tim,64,1559.0,4,91
Mike,55,1464.0,5,91
Sam,49,1420.0,6,91
Dove,46,1529.0,7,91
Mikey,46,1424.0,8,91
John,39,1225.0,9,91
Karl,36,1443.0,10,91
Andy,63,1615.0,1,92
Matt,62,1651.0,2,92
Mikey,59,1503.0,3,92
Sam,57,1474.0,4,92
Tim,55,1570.0,5,92
Mike,55,1424.0,6,92
Nick,54,1459.0,7,92
Dove,48,1505.0,8,92
John,41,1265.0,9,92
Karl,39,1491.0,10,92
Nick,69,1552.0,1,93
